time denFluctAv velMax forceMax velAvX velAvY velAvZ momAvX momAvY momAvZ forceX forceY forceZ ergKin ergDiss ergTransfer extWork
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
100 -2.35922e-17 0.0280492 0.00010129 0.00457306 5.99853e-11 -7.1115e-08 0.00457306 6.41347e-11 -7.0801e-08 -3.15096e-19 2.27682e-18 -6.50521e-19 1.22011 0 -1.65524e-06 0
200 -2.46981e-17 0.0287136 0.000296947 0.00650727 -5.14729e-10 -2.86102e-08 0.00650727 -5.36745e-10 -2.9345e-08 3.1984e-18 -6.07153e-18 2.60209e-18 1.69456 0 -6.64088e-06 0
300 -2.10841e-17 0.0289728 0.000481351 0.00798529 -8.65195e-10 -5.09571e-08 0.00798529 -9.05106e-10 -5.13436e-08 5.42101e-18 -5.20417e-18 3.03577e-18 2.05115 0 -1.15306e-05 0
400 -1.38127e-17 0.0291297 0.000643172 0.00918406 -1.20393e-09 -1.56204e-07 0.00918405 -1.23287e-09 -1.54621e-07 -9.97466e-18 -6.07153e-18 5.63785e-18 2.35839 0 -1.64411e-05 0
500 -9.97105e-18 0.0292333 0.000756088 0.0101677 -3.82375e-09 5.28984e-08 0.0101677 -3.81631e-09 5.5909e-08 -9.54098e-18 -4.33681e-18 5.20417e-18 2.63221 0 -1.95661e-05 0
600 -3.75857e-18 0.0293134 0.000845881 0.0109771 -9.64989e-09 4.37794e-08 0.0109771 -9.64145e-09 4.80789e-08 -2.68882e-17 0 -6.93889e-18 2.87709 0 -2.3528e-05 0
700 1.73111e-18 0.0293715 0.000928709 0.0116432 -1.54051e-08 1.34716e-07 0.0116432 -1.54418e-08 1.40453e-07 -1.04083e-17 6.28837e-18 -7.80626e-18 3.09369 0 -2.62101e-05 0
800 6.49799e-18 0.0294232 0.000898083 0.0121914 -2.06247e-08 2.26106e-07 0.0121914 -2.05976e-08 2.33072e-07 -4.33681e-18 4.33139e-17 -1.38778e-17 3.28303 0 -2.90851e-05 0
900 1.69894e-17 0.0294569 0.000917817 0.0126427 -2.48494e-08 3.26394e-07 0.0126427 -2.48902e-08 3.33495e-07 5.20417e-18 -4.77049e-18 0 3.44672 0 -3.19145e-05 0
1000 2.04372e-17 0.0294886 0.00096004 0.0130141 -2.42219e-08 3.08676e-07 0.0130141 -2.42431e-08 3.15996e-07 -7.80626e-18 5.74627e-18 -1.73472e-17 3.58665 0.00924733 -3.40629e-05 0
1100 2.51932e-17 0.0295101 0.000885373 0.0133198 -2.84582e-08 5.04951e-07 0.0133197 -2.84742e-08 5.12168e-07 -9.32414e-18 -6.57027e-17 -8.67362e-18 3.70565 0.00924728 -3.63162e-05 0
1200 3.36862e-17 0.0295329 0.000944673 0.0135713 -3.38168e-08 3.6064e-07 0.0135713 -3.37707e-08 3.6865e-07 -2.54788e-18 -4.95887e-17 -2.28496e-17 3.80677 0.00924725 -3.89813e-05 0
1300 4.06612e-17 0.0295526 0.000834291 0.0137787 -3.73457e-08 -3.19489e-08 0.0137787 -3.74022e-08 -2.4657e-08 2.93548e-17 -1.59378e-17 -1.86483e-17 3.89171 0.00924727 -4.02244e-05 0
1400 4.4539e-17 0.0295651 0.000820624 0.0139491 -3.92478e-08 -9.15749e-10 0.013949 -3.92022e-08 7.30763e-09 2.1684e-19 -4.44523e-17 -1.04083e-17 3.96196 0.00924731 -4.22233e-05 0
1500 4.95155e-17 0.0295653 0.000774293 0.0140891 -3.84085e-08 8.94115e-10 0.0140891 -3.84271e-08 8.63962e-09 3.38271e-17 -2.19009e-17 3.46945e-18 4.02076 0.00924737 -4.47032e-05 0
1600 5.03829e-17 0.0295848 0.000838051 0.0142043 -3.97506e-08 1.18714e-07 0.0142043 -3.97411e-08 1.26497e-07 -4.85723e-17 2.66714e-17 -1.73472e-17 4.06957 0.00924746 -4.53369e-05 0
1700 5.45173e-17 0.0295855 0.000818365 0.0142992 -4.07131e-08 -2.21207e-07 0.0142991 -4.07423e-08 -2.14612e-07 -6.245e-17 -1.30104e-17 -2.77556e-17 4.11028 0.00924754 -4.49881e-05 0
1800 5.76109e-17 0.0295915 0.000880307 0.0143772 -4.12429e-08 -1.11099e-07 0.0143772 -4.12198e-08 -1.02926e-07 -5.55112e-17 -1.38778e-17 3.46945e-18 4.14428 0.00924757 -4.66973e-05 0
1900 5.93348e-17 0.0295962 0.000789841 0.0144418 -3.84626e-08 -1.57448e-09 0.0144418 -3.84604e-08 5.38878e-09 -4.16334e-17 6.93889e-18 -8.67362e-18 4.17218 0.00924763 -4.89557e-05 0
2000 6.28476e-17 0.0296006 0.000821398 0.0144951 -3.31636e-08 -3.06957e-07 0.0144951 -3.31818e-08 -2.99539e-07 3.81639e-17 1.73472e-17 -1.73472e-17 4.19526 0.0089722 -5.01771e-05 0
