# orientation data for particle 0 out of 1
# column 1: time
# columns 2-4: principal axes
# columns 5-7: eigenvector 0
# columns 8-10: eigenvector 1
# columns 11-13: eigenvector 2
time a b c eigvec0x eigvec0y eigvec0z eigvec1x eigvec1y eigvec1z eigvec2x eigvec2y eigvec2z
0 7.47744 7.47744 7.47744 1 0 0 0 -0.763593 -0.645697 0 -0.645697 0.763593
100 7.49758 7.47723 7.45779 -0.705364 -7.63244e-05 -0.708845 -0.000238832 1 0.000129984 -0.708845 -0.000260981 0.705364
200 7.53798 7.47575 7.42 -0.729633 -0.000130447 -0.683839 -0.000107325 -1 0.000305269 -0.683839 0.000296127 0.729633
300 7.58428 7.47321 7.37788 -0.767628 -0.000238774 -0.640896 -1.5645e-05 -1 0.000391302 -0.640896 0.000310401 0.767628
400 7.63212 7.46989 7.33555 -0.807405 -0.000449324 -0.589998 -2.71226e-05 -1 0.000798685 -0.589998 0.000660864 0.807404
500 7.67821 7.46632 7.29544 -0.84457 -0.000229224 -0.535446 -0.000223236 -1 0.000780214 -0.535446 0.000778476 0.844569
600 7.72098 7.4629 7.25857 0.877897 0.000189315 0.47885 -0.000185967 -1 0.000736295 -0.47885 0.000735442 0.877896
700 7.75908 7.45957 7.22646 0.906826 8.67697e-05 0.421506 -0.000220814 -1 0.000680915 -0.421506 0.000710545 0.906826
