# individual data for particle 0 out of 1
# column 1: time
# columns 2-4: centre position
# columns 5-7: centre velocity
# columns 8-10: angular momentum
# columns 11-13: angular velocity
# columns 14-16: total force
# columns 17-19: total torque
# column 20: total energy
# column 21: strain energy
# column 22: bending energy
# column 23: surface energy
# column 24: volume energy
# column 25: interaction energy
# columns 26-34: stresslet
# column 35: volume
# column 36: surface
# column 37: minimum area deviation
# column 38: maximum area deviation
# column 39: minimum edge length
# column 40: maximum edge length
# column 41: maximum normal-normal angle
time x y z v_x v_y v_z L_x L_y L_z omega_x omega_y omega_z F_x F_y F_z T_x T_y T_z E_tot E_S E_B E_A E_V E_int sigma_xx sigma_xy sigma_xz sigma_yx sigma_yy sigma_yz sigma_zx sigma_zy sigma_zz volume surface areaDevMin areaDevMax edgeMin edgeMax angleMax
0 15 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1755 704.2 -5.107e-15 5.551e-15 0.922 1.082 5.35 
100 14.9505958421231 15.0000028748385 14.9998010544453 -0.001327 3.189e-07 -1.067e-05 0.001498 13 0.001068 5.669e-08 0.0004922 4.079e-08 0 0 0 0 0 0 0.000451 0.0004509 0 1.933e-07 0 0 0.01419 -3.72e-06 0.04921 -3.72e-06 0.0123 -3.033e-07 0.04921 -3.033e-07 0.01084 1755 704.2 -0.01705 0.01786 0.91 1.094 5.425 
200 14.7556971549406 15.0000154451304 14.9982697791135 -0.00242 4.04e-08 -1.626e-05 -0.0008297 26.19 -0.003124 -3.035e-08 0.0009911 -1.192e-07 0 0 0 0 0 0 0.003454 0.003449 0 5.1e-06 0 0 0.0846 3.393e-05 0.1535 3.393e-05 0.06599 1.973e-05 0.1535 1.973e-05 0.0495 1755 704.3 -0.0379 0.04224 0.8946 1.109 5.554 
300 14.4828272218937 15.0000084155811 14.9981358061837 -0.002963 -9.617e-08 2.943e-05 -0.001987 31.9 -0.01373 -7.598e-08 0.001206 -5.206e-07 0 0 0 0 0 0 0.009169 0.009145 0 2.349e-05 0 0 0.2082 9.402e-05 0.2576 9.402e-05 0.1454 1.492e-05 0.2576 1.492e-05 0.08837 1756 704.4 -0.05468 0.05925 0.8844 1.119 5.627 
400 14.1719636597367 14.9999970074208 15.0045578740028 -0.003225 -4.959e-07 8.779e-05 -0.004402 34.3 -0.009216 -1.573e-07 0.001296 -3.539e-07 0 0 0 0 0 0 0.01656 0.01649 0 6.667e-05 0 0 0.3782 0.0001726 0.3443 0.0001726 0.2465 6.393e-05 0.3443 6.393e-05 0.1275 1756 704.5 -0.06899 0.07884 0.8745 1.13 5.772 
500 13.8403841332393 14.999976916203 15.0121241749236 -0.003376 -1.781e-07 5.117e-05 -0.009548 34.85 -0.004149 -3.52e-07 0.001316 -1.747e-07 0 0 0 0 0 0 0.02445 0.02431 0 0.0001376 0 0 0.5703 0.0002357 0.4075 0.0002357 0.3553 5.532e-05 0.4075 5.532e-05 0.1592 1756 704.7 -0.07816 0.09753 0.8655 1.135 5.815 
600 13.4960030782762 14.9999929748277 15.0162120302204 -0.003479 3.054e-07 5.314e-05 -0.00462 34.82 -0.004101 -1.649e-07 0.001313 -1.721e-07 0 0 0 0 0 0 0.03192 0.03168 0 0.0002358 0 0 0.7704 0.00024 0.4431 0.00024 0.4619 3.098e-05 0.4431 3.098e-05 0.1862 1756 704.8 -0.08604 0.09949 0.8586 1.134 5.844 
700 13.1447207650728 14.9999851624325 15.0243904902872 -0.003524 -8.832e-08 8.867e-05 -0.00313 34.47 -0.0002315 -1.088e-07 0.001299 -3.019e-08 0 0 0 0 0 0 0.03854 0.03817 0 0.000374 0 0 0.9761 0.0002267 0.4566 0.0002267 0.5746 -3.003e-05 0.4566 -3.003e-05 0.2228 1756 704.9 -0.0913 0.105 0.8533 1.14 5.854 
