time denFluctAv velMax forceMax velAvX velAvY velAvZ momAvX momAvY momAvZ forceX forceY forceZ ergKin ergDiss ergTransfer extWork
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
100 -2.97975e-17 0.0418741 0.000307649 -1.54581e-05 2.53347e-10 -1.89429e-07 -1.54588e-05 3.06704e-10 -1.80316e-07 2.67628e-18 5.91349e-19 9.38951e-18 5.29177 0 -1.66227e-05 0
200 -1.29562e-17 0.0429094 0.000721504 -0.000102755 3.3386e-09 -2.90969e-07 -0.000102783 3.46791e-09 -2.66932e-07 1.10967e-17 -9.06004e-19 -5.10349e-18 7.03614 0 -5.75539e-05 0
300 2.86229e-18 0.0433084 0.00110683 -0.00020826 2.33265e-09 -2.08074e-07 -0.000208323 2.16205e-09 -1.81426e-07 -2.56129e-17 -7.16537e-20 3.80072e-17 7.86096 0 -0.000100946 0
400 1.52367e-17 0.0434803 0.00131664 -0.000304194 -2.77211e-09 3.63303e-07 -0.000304291 -2.86348e-09 3.93428e-07 5.28366e-17 -4.92291e-18 -2.95087e-18 8.22741 0 -0.000133846 0
500 3.69677e-17 0.0435329 0.00137657 -0.000384207 -1.04365e-08 7.66685e-07 -0.00038436 -1.04901e-08 7.94867e-07 -1.18114e-16 -6.71045e-19 -5.60691e-17 8.38159 0 -0.000160873 0
600 4.86698e-17 0.0435083 0.00127048 -0.000450271 -7.39602e-09 2.14044e-07 -0.000450473 -7.38527e-09 2.37155e-07 2.19654e-17 1.86627e-17 9.29066e-17 8.44926 0 -0.00017542 0
700 5.9136e-17 0.0435373 0.00131108 -0.000502415 -1.87742e-09 4.06559e-08 -0.000502678 -1.80687e-09 6.45329e-08 -1.34711e-16 -1.81931e-17 -4.27966e-17 8.4758 0 -0.000189477 0
